@RELATION test
@ATTRIBUTE rowc NUMERIC 
@ATTRIBUTE colc NUMERIC 
@ATTRIBUTE class {-1,1}

@DATA 
119.478104 , 892.320923 ,  -1 
110.730202 , 955.271179 ,  -1 
114.0718 , 982.305603 ,  -1 
117.058998 , 1049.70703 ,  -1 
111.122704 , 1078.18298 ,  -1 
117.259598 , 1128.44202 ,  -1 
110.048401 , 1189.297 ,  -1 
119.120399 , 1231.30396 ,  -1 
120.292999 , 1285.62195 ,  -1 
107.694199 , 1326.87805 ,  -1 
112.018501 , 1372.86499 ,  -1 
120.377296 , 1433.62305 ,  -1 
118.304703 , 1472.03296 ,  -1 
120.067101 , 1523.92896 ,  -1 
111.650101 , 1574.48401 ,  -1 
115.445602 , 1620.59302 ,  -1 
111.835403 , 1667.38098 ,  -1 
114.918098 , 1718.31201 ,  -1 
108.950203 , 1772.07898 ,  -1 
106.9002 , 1821.44604 ,  -1 
116.973 , 1865.56604 ,  -1 
115.661301 , 1918.85498 ,  -1 
114.063599 , 1956.31201 ,  -1 
144.910294 , 89.2898788 ,  -1 
148.980804 , 135.812805 ,  -1 
151.986893 , 192.682007 ,  -1 
140.689407 , 226.158997 ,  -1 
145.217499 , 279.194214 ,  -1 
143.375702 , 321.299286 ,  -1 
147.039902 , 383.804688 ,  -1 
143.503204 , 430.844513 ,  -1 
147.830399 , 473.211792 ,  -1 
140.186295 , 509.110687 ,  -1 
144.479904 , 556.776672 ,  -1 
152.086105 , 602.688477 ,  -1 
151.780197 , 656.621521 ,  -1 
146.009705 , 702.084412 ,  -1 
141.218796 , 761.4646 ,  -1 
148.5345 , 793.482117 ,  -1 
149.503403 , 858.338013 ,  -1 
146.660904 , 903.427673 ,  -1 
153.432907 , 951.457397 ,  -1 
143.715698 , 990.714417 ,  -1 
143.976196 , 1040.06201 ,  -1 
147.669296 , 1084.73096 ,  -1 
147.020493 , 1126.32898 ,  -1 
145.1698 , 1178.33606 ,  -1 
152.715195 , 1232.651 ,  -1 
141.042496 , 1291.47302 ,  -1 
